Title,Author,Rating,Genres
"Lonesome Dove (Lonesome Dove, #1)",Larry McMurtry,4.55,"['Fiction', 'Historical Fiction', 'Westerns', 'Classics', 'Historical', 'Adventure', 'Audiobook']"
Peter Pan,J.M. Barrie,4.04,"['Fantasy', 'Fiction', 'Childrens', 'Classics', 'Adventure', 'Young Adult', 'Audiobook']"
"Catching Fire (The Hunger Games, #2)",Suzanne Collins,4.33,"['Young Adult', 'Fiction', 'Fantasy', 'Science Fiction', 'Romance', 'Audiobook', 'Teen']"
Love in the Time of Cholera,Gabriel García Márquez,3.94,"['Fiction', 'Historical Fiction', 'Magical Realism', 'Literature', 'Novels', 'Spanish Literature', 'Literary Fiction']"
"The Titan’s Curse (Percy Jackson and the Olympians, #3)",Rick Riordan,4.37,"['Fantasy', 'Young Adult', 'Mythology', 'Fiction', 'Middle Grade', 'Adventure', 'Greek Mythology']"
The Addiction Manifesto,Jerry Weaver,4.79,"['Nonfiction', 'Self Help', 'Memoir', 'Mental Health', 'Psychology', 'Biography']"
"Insurgent (Divergent, #2)",Veronica Roth,3.97,"['Young Adult', 'Dystopia', 'Fantasy', 'Fiction', 'Science Fiction', 'Romance', 'Adventure']"
"The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)",Rick Riordan,4.42,"['Fantasy', 'Young Adult', 'Mythology', 'Fiction', 'Middle Grade', 'Adventure', 'Greek Mythology']"
A Walk to Remember,Nicholas Sparks,4.20,"['Romance', 'Fiction', 'Contemporary', 'Young Adult', 'Chick Lit', 'Adult', 'Contemporary Romance']"
The Thorn Birds,Colleen McCullough,4.25,"['Fiction', 'Historical Fiction', 'Romance', 'Classics', 'Historical', 'Historical Romance', 'Drama']"
The Song of Achilles,Madeline Miller,4.32,"['Fantasy', 'Historical Fiction', 'Romance', 'Fiction', 'Mythology', 'LGBT', 'Queer']"
"The Sea of Monsters (Percy Jackson and the Olympians, #2)",Rick Riordan,4.24,"['Fantasy', 'Young Adult', 'Mythology', 'Fiction', 'Middle Grade', 'Adventure', 'Greek Mythology']"
"Clockwork Princess (The Infernal Devices, #3)",Cassandra Clare,4.56,"['Fantasy', 'Young Adult', 'Romance', 'Paranormal', 'Historical Fiction', 'Steampunk', 'Urban Fantasy']"
How the Grinch Stole Christmas!,Dr. Seuss,4.38,[]
"The Ultimate Hitchhiker’s Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1-5)",Douglas Adams,4.38,"['Science Fiction', 'Fiction', 'Humor', 'Fantasy', 'Classics', 'Comedy', 'Science Fiction Fantasy']"
The Compleat Works of Wllm Shkspr,Reduced Shakespeare Company,4.44,"['Plays', 'Classics', 'Humor', 'Drama', 'Fiction', 'Theatre', 'Comedy']"
"Shadow Kiss (Vampire Academy, #3)",Richelle Mead,4.33,"['Young Adult', 'Fantasy', 'Vampires', 'Paranormal', 'Romance', 'Urban Fantasy', 'Paranormal Romance']"
Their Eyes Were Watching God,Zora Neale Hurston,3.98,"['Classics', 'Fiction', 'Historical Fiction', 'School', 'African American', 'Literature', 'Feminism']"
The Secret History,Donna Tartt,4.17,"['Fiction', 'Mystery', 'Classics', 'Contemporary', 'Thriller', 'Literary Fiction', 'Mystery Thriller']"
The Importance of Being Earnest,Oscar Wilde,4.17,"['Classics', 'Plays', 'Fiction', 'Drama', 'Humor', 'School', 'Literature']"
"The Maze Runner (The Maze Runner, #1)",James Dashner,4.05,"['Young Adult', 'Dystopia', 'Science Fiction', 'Fiction', 'Fantasy', 'Audiobook', 'Post Apocalyptic']"
Atonement,Ian McEwan,3.94,"['Fiction', 'Historical Fiction', 'Classics', 'Romance', 'Historical', 'War', 'Literary Fiction']"
